yourlist:M20190428216DA2B77BFBD2E6699CA9B6D1C41EB20A1B1A1	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P51888	P51888	PRELP_HUMAN	reviewed	Prolargin (Proline-arginine-rich end leucine-rich repeat protein)	PRELP SLRR2A	Homo sapiens (Human)	382
P51911	P51911	CNN1_HUMAN	reviewed	Calponin-1 (Basic calponin) (Calponin H1, smooth muscle)	CNN1	Homo sapiens (Human)	297
P51991	P51991	ROA3_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	HNRNPA3 HNRPA3	Homo sapiens (Human)	378
P52209	P52209	6PGD_HUMAN	reviewed	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	PGD PGDH	Homo sapiens (Human)	483
P52272	P52272	HNRPM_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein M (hnRNP M)	HNRNPM HNRPM NAGR1	Homo sapiens (Human)	730
P52294	P52294	IMA5_HUMAN	reviewed	Importin subunit alpha-5 (Karyopherin subunit alpha-1) (Nucleoprotein interactor 1) (NPI-1) (RAG cohort protein 2) (SRP1-beta) [Cleaved into: Importin subunit alpha-5, N-terminally processed]	KPNA1 RCH2	Homo sapiens (Human)	538
P52565	P52565	GDIR1_HUMAN	reviewed	Rho GDP-dissociation inhibitor 1 (Rho GDI 1) (Rho-GDI alpha)	ARHGDIA GDIA1	Homo sapiens (Human)	204
P52597	P52597	HNRPF_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein F (hnRNP F) (Nucleolin-like protein mcs94-1) [Cleaved into: Heterogeneous nuclear ribonucleoprotein F, N-terminally processed]	HNRNPF HNRPF	Homo sapiens (Human)	415
P52630	P52630	STAT2_HUMAN	reviewed	Signal transducer and activator of transcription 2 (p113)	STAT2	Homo sapiens (Human)	851
P52701	P52701	MSH6_HUMAN	reviewed	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)	MSH6 GTBP	Homo sapiens (Human)	1360
P52758	P52758	RIDA_HUMAN	reviewed	2-iminobutanoate/2-iminopropanoate deaminase (EC 3.5.99.10) (14.5 kDa translational inhibitor protein) (hp14.5) (p14.5) (Heat-responsive protein 12) (Reactive intermediate imine deaminase A homolog) (Translation inhibitor L-PSP ribonuclease) (EC 3.1.-.-) (UK114 antigen homolog)	RIDA HRSP12	Homo sapiens (Human)	137
P52895	P52895	AK1C2_HUMAN	reviewed	Aldo-keto reductase family 1 member C2 (EC 1.-.-.-) (3-alpha-HSD3) (Chlordecone reductase homolog HAKRD) (Dihydrodiol dehydrogenase 2) (DD-2) (DD2) (Dihydrodiol dehydrogenase/bile acid-binding protein) (DD/BABP) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20) (Type III 3-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.357)	AKR1C2 DDH2	Homo sapiens (Human)	323
P52907	P52907	CAZA1_HUMAN	reviewed	F-actin-capping protein subunit alpha-1 (CapZ alpha-1)	CAPZA1	Homo sapiens (Human)	286
P53007	P53007	TXTP_HUMAN	reviewed	Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)	SLC25A1 SLC20A3	Homo sapiens (Human)	311
P53041	P53041	PPP5_HUMAN	reviewed	Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT)	PPP5C PPP5	Homo sapiens (Human)	499
P53396	P53396	ACLY_HUMAN	reviewed	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)	ACLY	Homo sapiens (Human)	1101
P53597	P53597	SUCA_HUMAN	reviewed	Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial (EC 6.2.1.4) (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	SUCLG1	Homo sapiens (Human)	346
P53618	P53618	COPB_HUMAN	reviewed	Coatomer subunit beta (Beta-coat protein) (Beta-COP)	COPB1 COPB MSTP026	Homo sapiens (Human)	953
P53621	P53621	COPA_HUMAN	reviewed	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (HEP-COP) (HEPCOP) [Cleaved into: Xenin (Xenopsin-related peptide); Proxenin]	COPA	Homo sapiens (Human)	1224
P53814	P53814	SMTN_HUMAN	reviewed	Smoothelin	SMTN SMSMO	Homo sapiens (Human)	917
P53992	P53992	SC24C_HUMAN	reviewed	Protein transport protein Sec24C (SEC24-related protein C)	SEC24C KIAA0079	Homo sapiens (Human)	1094
P53999	P53999	TCP4_HUMAN	reviewed	Activated RNA polymerase II transcriptional coactivator p15 (Positive cofactor 4) (PC4) (SUB1 homolog) (p14)	SUB1 PC4 RPO2TC1	Homo sapiens (Human)	127
P54136	P54136	SYRC_HUMAN	reviewed	Arginine--tRNA ligase, cytoplasmic (EC 6.1.1.19) (Arginyl-tRNA synthetase) (ArgRS)	RARS	Homo sapiens (Human)	660
P54577	P54577	SYYC_HUMAN	reviewed	Tyrosine--tRNA ligase, cytoplasmic (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) [Cleaved into: Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed]	YARS	Homo sapiens (Human)	528
P54652	P54652	HSP72_HUMAN	reviewed	Heat shock-related 70 kDa protein 2 (Heat shock 70 kDa protein 2)	HSPA2	Homo sapiens (Human)	639
P54707	P54707	AT12A_HUMAN	reviewed	Potassium-transporting ATPase alpha chain 2 (EC 7.2.2.19) (Non-gastric H(+)/K(+) ATPase subunit alpha) (Proton pump)	ATP12A ATP1AL1	Homo sapiens (Human)	1039
P54727	P54727	RD23B_HUMAN	reviewed	UV excision repair protein RAD23 homolog B (HR23B) (hHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58)	RAD23B	Homo sapiens (Human)	409
P54840	P54840	GYS2_HUMAN	reviewed	Glycogen [starch] synthase, liver (EC 2.4.1.11)	GYS2	Homo sapiens (Human)	703
P54868	P54868	HMCS2_HUMAN	reviewed	Hydroxymethylglutaryl-CoA synthase, mitochondrial (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)	HMGCS2	Homo sapiens (Human)	508
P54886	P54886	P5CS_HUMAN	reviewed	Delta-1-pyrroline-5-carboxylate synthase (P5CS) (Aldehyde dehydrogenase family 18 member A1) [Includes: Glutamate 5-kinase (GK) (EC 2.7.2.11) (Gamma-glutamyl kinase); Gamma-glutamyl phosphate reductase (GPR) (EC 1.2.1.41) (Glutamate-5-semialdehyde dehydrogenase) (Glutamyl-gamma-semialdehyde dehydrogenase)]	ALDH18A1 GSAS P5CS PYCS	Homo sapiens (Human)	795
P55001	P55001	MFAP2_HUMAN	reviewed	Microfibrillar-associated protein 2 (MFAP-2) (Microfibril-associated glycoprotein 1) (MAGP) (MAGP-1)	MFAP2 MAGP1	Homo sapiens (Human)	183
P55060	P55060	XPO2_HUMAN	reviewed	Exportin-2 (Exp2) (Cellular apoptosis susceptibility protein) (Chromosome segregation 1-like protein) (Importin-alpha re-exporter)	CSE1L CAS XPO2	Homo sapiens (Human)	971
P55072	P55072	TERA_HUMAN	reviewed	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	VCP	Homo sapiens (Human)	806
P55081	P55081	MFAP1_HUMAN	reviewed	Microfibrillar-associated protein 1 (Spliceosome B complex protein MFAP1)	MFAP1	Homo sapiens (Human)	439
P55084	P55084	ECHB_HUMAN	reviewed	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]	HADHB MSTP029	Homo sapiens (Human)	474
P55157	P55157	MTP_HUMAN	reviewed	Microsomal triglyceride transfer protein large subunit	MTTP MTP	Homo sapiens (Human)	894
P55196	P55196	AFAD_HUMAN	reviewed	Afadin (ALL1-fused gene from chromosome 6 protein) (Protein AF-6) (Afadin adherens junction formation factor)	AFDN AF6 MLLT4	Homo sapiens (Human)	1824
P55212	P55212	CASP6_HUMAN	reviewed	Caspase-6 (CASP-6) (EC 3.4.22.59) (Apoptotic protease Mch-2) [Cleaved into: Caspase-6 subunit p18; Caspase-6 subunit p11]	CASP6 MCH2	Homo sapiens (Human)	293
P55265	P55265	DSRAD_HUMAN	reviewed	Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP)	ADAR ADAR1 DSRAD G1P1 IFI4	Homo sapiens (Human)	1226
P55268	P55268	LAMB2_HUMAN	reviewed	Laminin subunit beta-2 (Laminin B1s chain) (Laminin-11 subunit beta) (Laminin-14 subunit beta) (Laminin-15 subunit beta) (Laminin-3 subunit beta) (Laminin-4 subunit beta) (Laminin-7 subunit beta) (Laminin-9 subunit beta) (S-laminin subunit beta) (S-LAM beta)	LAMB2 LAMS	Homo sapiens (Human)	1798
P55287	P55287	CAD11_HUMAN	reviewed	Cadherin-11 (OSF-4) (Osteoblast cadherin) (OB-cadherin)	CDH11	Homo sapiens (Human)	796
P55735	P55735	SEC13_HUMAN	reviewed	Protein SEC13 homolog (GATOR complex protein SEC13) (SEC13-like protein 1) (SEC13-related protein)	SEC13 D3S1231E SEC13A SEC13L1 SEC13R	Homo sapiens (Human)	322
P55769	P55769	NH2L1_HUMAN	reviewed	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]	SNU13 NHP2L1	Homo sapiens (Human)	128
P55786	P55786	PSA_HUMAN	reviewed	Puromycin-sensitive aminopeptidase (PSA) (EC 3.4.11.14) (Cytosol alanyl aminopeptidase) (AAP-S)	NPEPPS PSA	Homo sapiens (Human)	919
P55795	P55795	HNRH2_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (FTP-3) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]	HNRNPH2 FTP3 HNRPH2	Homo sapiens (Human)	449
P55884	P55884	EIF3B_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (Prt1 homolog) (hPrt1) (eIF-3-eta) (eIF3 p110) (eIF3 p116)	EIF3B EIF3S9	Homo sapiens (Human)	814
P56182	P56182	RRP1_HUMAN	reviewed	Ribosomal RNA processing protein 1 homolog A (Novel nuclear protein 1) (NNP-1) (Nucleolar protein Nop52) (RRP1-like protein)	RRP1 D21S2056E NNP1 NOP52 RRP1A	Homo sapiens (Human)	461
P56192	P56192	SYMC_HUMAN	reviewed	Methionine--tRNA ligase, cytoplasmic (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	MARS	Homo sapiens (Human)	900
P56470	P56470	LEG4_HUMAN	reviewed	Galectin-4 (Gal-4) (Antigen NY-CO-27) (L-36 lactose-binding protein) (L36LBP) (Lactose-binding lectin 4)	LGALS4	Homo sapiens (Human)	323
P56537	P56537	IF6_HUMAN	reviewed	Eukaryotic translation initiation factor 6 (eIF-6) (B(2)GCN homolog) (B4 integrin interactor) (CAB) (p27(BBP))	EIF6 EIF3A ITGB4BP OK/SW-cl.27	Homo sapiens (Human)	245
P57737	P57737	CORO7_HUMAN	reviewed	Coronin-7 (Crn7) (70 kDa WD repeat tumor rejection antigen homolog)	CORO7	Homo sapiens (Human)	925
P57740	P57740	NU107_HUMAN	reviewed	Nuclear pore complex protein Nup107 (107 kDa nucleoporin) (Nucleoporin Nup107)	NUP107	Homo sapiens (Human)	925
P58107	P58107	EPIPL_HUMAN	reviewed	Epiplakin (450 kDa epidermal antigen)	EPPK1 EPIPL	Homo sapiens (Human)	5088
P58304	P58304	VSX2_HUMAN	reviewed	Visual system homeobox 2 (Ceh-10 homeodomain-containing homolog) (Homeobox protein CHX10)	VSX2 CHX10 HOX10	Homo sapiens (Human)	361
P59666	P59666	DEF3_HUMAN	reviewed	Neutrophil defensin 3 (Defensin, alpha 3) (HNP-3) (HP-3) (HP3) [Cleaved into: HP 3-56; Neutrophil defensin 2 (HNP-2) (HP-2) (HP2)]	DEFA3 DEF3	Homo sapiens (Human)	94
P59923	P59923	ZN445_HUMAN	reviewed	Zinc finger protein 445 (Zinc finger protein 168) (Zinc finger protein with KRAB and SCAN domains 15)	ZNF445 ZKSCAN15 ZNF168	Homo sapiens (Human)	1031
P59998	P59998	ARPC4_HUMAN	reviewed	Actin-related protein 2/3 complex subunit 4 (Arp2/3 complex 20 kDa subunit) (p20-ARC)	ARPC4 ARC20	Homo sapiens (Human)	168
P60033	P60033	CD81_HUMAN	reviewed	CD81 antigen (26 kDa cell surface protein TAPA-1) (Target of the antiproliferative antibody 1) (Tetraspanin-28) (Tspan-28) (CD antigen CD81)	CD81 TAPA1 TSPAN28	Homo sapiens (Human)	236
P60174	P60174	TPIS_HUMAN	reviewed	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)	TPI1 TPI	Homo sapiens (Human)	286
P60228	P60228	EIF3E_HUMAN	reviewed	Eukaryotic translation initiation factor 3 subunit E (eIF3e) (Eukaryotic translation initiation factor 3 subunit 6) (Viral integration site protein INT-6 homolog) (eIF-3 p48)	EIF3E EIF3S6 INT6	Homo sapiens (Human)	445
P60660	P60660	MYL6_HUMAN	reviewed	Myosin light polypeptide 6 (17 kDa myosin light chain) (LC17) (Myosin light chain 3) (MLC-3) (Myosin light chain alkali 3) (Myosin light chain A3) (Smooth muscle and nonmuscle myosin light chain alkali 6)	MYL6	Homo sapiens (Human)	151
P60709	P60709	ACTB_HUMAN	reviewed	Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]	ACTB	Homo sapiens (Human)	375
P60842	P60842	IF4A1_HUMAN	reviewed	Eukaryotic initiation factor 4A-I (eIF-4A-I) (eIF4A-I) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1)	EIF4A1 DDX2A EIF4A	Homo sapiens (Human)	406
P60866	P60866	RS20_HUMAN	reviewed	40S ribosomal protein S20 (Small ribosomal subunit protein uS10)	RPS20	Homo sapiens (Human)	119
P60900	P60900	PSA6_HUMAN	reviewed	Proteasome subunit alpha type-6 (EC 3.4.25.1) (27 kDa prosomal protein) (PROS-27) (p27K) (Macropain iota chain) (Multicatalytic endopeptidase complex iota chain) (Proteasome iota chain)	PSMA6 PROS27	Homo sapiens (Human)	246
P60953	P60953	CDC42_HUMAN	reviewed	Cell division control protein 42 homolog (G25K GTP-binding protein)	CDC42	Homo sapiens (Human)	191
P60981	P60981	DEST_HUMAN	reviewed	Destrin (Actin-depolymerizing factor) (ADF)	DSTN ACTDP DSN	Homo sapiens (Human)	165
P61019	P61019	RAB2A_HUMAN	reviewed	Ras-related protein Rab-2A	RAB2A RAB2	Homo sapiens (Human)	212
P61158	P61158	ARP3_HUMAN	reviewed	Actin-related protein 3 (Actin-like protein 3)	ACTR3 ARP3	Homo sapiens (Human)	418
P61160	P61160	ARP2_HUMAN	reviewed	Actin-related protein 2 (Actin-like protein 2)	ACTR2 ARP2	Homo sapiens (Human)	394
P61163	P61163	ACTZ_HUMAN	reviewed	Alpha-centractin (Centractin) (ARP1) (Actin-RPV) (Centrosome-associated actin homolog)	ACTR1A CTRN1	Homo sapiens (Human)	376
P61204	P61204	ARF3_HUMAN	reviewed	ADP-ribosylation factor 3	ARF3	Homo sapiens (Human)	181
P61221	P61221	ABCE1_HUMAN	reviewed	ATP-binding cassette sub-family E member 1 (2'-5'-oligoadenylate-binding protein) (HuHP68) (RNase L inhibitor) (Ribonuclease 4 inhibitor) (RNS4I)	ABCE1 RLI RNASEL1 RNASELI RNS4I OK/SW-cl.40	Homo sapiens (Human)	599
P61247	P61247	RS3A_HUMAN	reviewed	40S ribosomal protein S3a (Small ribosomal subunit protein eS1) (v-fos transformation effector protein) (Fte-1)	RPS3A FTE1 MFTL	Homo sapiens (Human)	264
Q9UNX3	Q9UNX3	RL26L_HUMAN	reviewed	60S ribosomal protein L26-like 1 (Large ribosomal subunit protein uL24-like 1)	RPL26L1 RPL26P1	Homo sapiens (Human)	145
P61313	P61313	RL15_HUMAN	reviewed	60S ribosomal protein L15 (Large ribosomal subunit protein eL15)	RPL15 EC45 TCBAP0781	Homo sapiens (Human)	204
P61326	P61326	MGN_HUMAN	reviewed	Protein mago nashi homolog	MAGOH MAGOHA	Homo sapiens (Human)	146
P61353	P61353	RL27_HUMAN	reviewed	60S ribosomal protein L27 (Large ribosomal subunit protein eL27)	RPL27	Homo sapiens (Human)	136
P61421	P61421	VA0D1_HUMAN	reviewed	V-type proton ATPase subunit d 1 (V-ATPase subunit d 1) (32 kDa accessory protein) (V-ATPase 40 kDa accessory protein) (V-ATPase AC39 subunit) (p39) (Vacuolar proton pump subunit d 1)	ATP6V0D1 ATP6D VPATPD	Homo sapiens (Human)	351
P61513	P61513	RL37A_HUMAN	reviewed	60S ribosomal protein L37a (Large ribosomal subunit protein eL43)	RPL37A	Homo sapiens (Human)	92
P61619	P61619	S61A1_HUMAN	reviewed	Protein transport protein Sec61 subunit alpha isoform 1 (Sec61 alpha-1)	SEC61A1 SEC61A	Homo sapiens (Human)	476
P61626	P61626	LYSC_HUMAN	reviewed	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)	LYZ LZM	Homo sapiens (Human)	148
P61769	P61769	B2MG_HUMAN	reviewed	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	B2M CDABP0092 HDCMA22P	Homo sapiens (Human)	119
P61978	P61978	HNRPK_HUMAN	reviewed	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	HNRNPK HNRPK	Homo sapiens (Human)	463
P61981	P61981	1433G_HUMAN	reviewed	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	YWHAG	Homo sapiens (Human)	247
P62140	P62140	PP1B_HUMAN	reviewed	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	Homo sapiens (Human)	327
P62195	P62195	PRS8_HUMAN	reviewed	26S proteasome regulatory subunit 8 (26S proteasome AAA-ATPase subunit RPT6) (Proteasome 26S subunit ATPase 5) (Proteasome subunit p45) (Thyroid hormone receptor-interacting protein 1) (TRIP1) (p45/SUG)	PSMC5 SUG1	Homo sapiens (Human)	406
P62241	P62241	RS8_HUMAN	reviewed	40S ribosomal protein S8 (Small ribosomal subunit protein eS8)	RPS8 OK/SW-cl.83	Homo sapiens (Human)	208
P62244	P62244	RS15A_HUMAN	reviewed	40S ribosomal protein S15a (Small ribosomal subunit protein uS8)	RPS15A OK/SW-cl.82	Homo sapiens (Human)	130
P62249	P62249	RS16_HUMAN	reviewed	40S ribosomal protein S16 (Small ribosomal subunit protein uS9)	RPS16	Homo sapiens (Human)	146
P62258	P62258	1433E_HUMAN	reviewed	14-3-3 protein epsilon (14-3-3E)	YWHAE	Homo sapiens (Human)	255
P62263	P62263	RS14_HUMAN	reviewed	40S ribosomal protein S14 (Small ribosomal subunit protein uS11)	RPS14 PRO2640	Homo sapiens (Human)	151
P62266	P62266	RS23_HUMAN	reviewed	40S ribosomal protein S23 (Small ribosomal subunit protein uS12)	RPS23	Homo sapiens (Human)	143
P62269	P62269	RS18_HUMAN	reviewed	40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)	RPS18 D6S218E	Homo sapiens (Human)	152
P62277	P62277	RS13_HUMAN	reviewed	40S ribosomal protein S13 (Small ribosomal subunit protein uS15)	RPS13	Homo sapiens (Human)	151
P62280	P62280	RS11_HUMAN	reviewed	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	RPS11	Homo sapiens (Human)	158
P62304	P62304	RUXE_HUMAN	reviewed	Small nuclear ribonucleoprotein E (snRNP-E) (Sm protein E) (Sm-E) (SmE)	SNRPE	Homo sapiens (Human)	92
P62306	P62306	RUXF_HUMAN	reviewed	Small nuclear ribonucleoprotein F (snRNP-F) (Sm protein F) (Sm-F) (SmF)	SNRPF PBSCF	Homo sapiens (Human)	86
P62316	P62316	SMD2_HUMAN	reviewed	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	SNRPD2 SNRPD1	Homo sapiens (Human)	118
P62318	P62318	SMD3_HUMAN	reviewed	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	SNRPD3	Homo sapiens (Human)	126
P62424	P62424	RL7A_HUMAN	reviewed	60S ribosomal protein L7a (Large ribosomal subunit protein eL8) (PLA-X polypeptide) (Surfeit locus protein 3)	RPL7A SURF-3 SURF3	Homo sapiens (Human)	266
P62491	P62491	RB11A_HUMAN	reviewed	Ras-related protein Rab-11A (Rab-11) (YL8)	RAB11A RAB11	Homo sapiens (Human)	216
P62701	P62701	RS4X_HUMAN	reviewed	40S ribosomal protein S4, X isoform (SCR10) (Single copy abundant mRNA protein) (Small ribosomal subunit protein eS4)	RPS4X CCG2 RPS4 SCAR	Homo sapiens (Human)	263
P67775	P67775	PP2AA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform (PP2A-alpha) (EC 3.1.3.16) (Replication protein C) (RP-C)	PPP2CA	Homo sapiens (Human)	309
P62736	P62736	ACTA_HUMAN	reviewed	Actin, aortic smooth muscle (Alpha-actin-2) (Cell growth-inhibiting gene 46 protein) [Cleaved into: Actin, aortic smooth muscle, intermediate form]	ACTA2 ACTSA ACTVS GIG46	Homo sapiens (Human)	377
P62750	P62750	RL23A_HUMAN	reviewed	60S ribosomal protein L23a (Large ribosomal subunit protein uL23)	RPL23A	Homo sapiens (Human)	156
P62753	P62753	RS6_HUMAN	reviewed	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	RPS6 OK/SW-cl.2	Homo sapiens (Human)	249
P62805	P62805	H4_HUMAN	reviewed	Histone H4	HIST1H4A H4/A H4FA; HIST1H4B H4/I H4FI; HIST1H4C H4/G H4FG; HIST1H4D H4/B H4FB; HIST1H4E H4/J H4FJ; HIST1H4F H4/C H4FC; HIST1H4H H4/H H4FH; HIST1H4I H4/M H4FM; HIST1H4J H4/E H4FE; HIST1H4K H4/D H4FD; HIST1H4L H4/K H4FK; HIST2H4A H4/N H4F2 H4FN HIST2H4; HIST2H4B H4/O H4FO; HIST4H4	Homo sapiens (Human)	103
P62820	P62820	RAB1A_HUMAN	reviewed	Ras-related protein Rab-1A (YPT1-related protein)	RAB1A RAB1	Homo sapiens (Human)	205
P62826	P62826	RAN_HUMAN	reviewed	GTP-binding nuclear protein Ran (Androgen receptor-associated protein 24) (GTPase Ran) (Ras-like protein TC4) (Ras-related nuclear protein)	RAN ARA24 OK/SW-cl.81	Homo sapiens (Human)	216
P62829	P62829	RL23_HUMAN	reviewed	60S ribosomal protein L23 (60S ribosomal protein L17) (Large ribosomal subunit protein uL14)	RPL23	Homo sapiens (Human)	140
P62847	P62847	RS24_HUMAN	reviewed	40S ribosomal protein S24 (Small ribosomal subunit protein eS24)	RPS24	Homo sapiens (Human)	133
P62854	P62854	RS26_HUMAN	reviewed	40S ribosomal protein S26 (Small ribosomal subunit protein eS26)	RPS26	Homo sapiens (Human)	115
P62879	P62879	GBB2_HUMAN	reviewed	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2 (G protein subunit beta-2) (Transducin beta chain 2)	GNB2	Homo sapiens (Human)	340
P62888	P62888	RL30_HUMAN	reviewed	60S ribosomal protein L30 (Large ribosomal subunit protein eL30)	RPL30	Homo sapiens (Human)	115
Q59GN2	Q59GN2	R39L5_HUMAN	reviewed	Putative 60S ribosomal protein L39-like 5 (60S ribosomal protein L39 pseudogene 5)	RPL39P5	Homo sapiens (Human)	51
P62899	P62899	RL31_HUMAN	reviewed	60S ribosomal protein L31 (Large ribosomal subunit protein eL31)	RPL31	Homo sapiens (Human)	125
P62906	P62906	RL10A_HUMAN	reviewed	60S ribosomal protein L10a (CSA-19) (Large ribosomal subunit protein uL1) (Neural precursor cell expressed developmentally down-regulated protein 6) (NEDD-6)	RPL10A NEDD6	Homo sapiens (Human)	217
P62910	P62910	RL32_HUMAN	reviewed	60S ribosomal protein L32 (Large ribosomal subunit protein eL32)	RPL32 PP9932	Homo sapiens (Human)	135
P62913	P62913	RL11_HUMAN	reviewed	60S ribosomal protein L11 (CLL-associated antigen KW-12) (Large ribosomal subunit protein uL5)	RPL11	Homo sapiens (Human)	178
P62917	P62917	RL8_HUMAN	reviewed	60S ribosomal protein L8 (Large ribosomal subunit protein uL2)	RPL8	Homo sapiens (Human)	257
P62937	P62937	PPIA_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	PPIA CYPA	Homo sapiens (Human)	165
P62979	P62979	RS27A_HUMAN	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)]	RPS27A UBA80 UBCEP1	Homo sapiens (Human)	156
P62995	P62995	TRA2B_HUMAN	reviewed	Transformer-2 protein homolog beta (TRA-2 beta) (TRA2-beta) (hTRA2-beta) (Splicing factor, arginine/serine-rich 10) (Transformer-2 protein homolog B)	TRA2B SFRS10	Homo sapiens (Human)	288
P63010	P63010	AP2B1_HUMAN	reviewed	AP-2 complex subunit beta (AP105B) (Adaptor protein complex AP-2 subunit beta) (Adaptor-related protein complex 2 subunit beta) (Beta-2-adaptin) (Beta-adaptin) (Clathrin assembly protein complex 2 beta large chain) (Plasma membrane adaptor HA2/AP2 adaptin beta subunit)	AP2B1 ADTB2 CLAPB1	Homo sapiens (Human)	937
P63104	P63104	1433Z_HUMAN	reviewed	14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1)	YWHAZ	Homo sapiens (Human)	245
P63151	P63151	2ABA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (PP2A subunit B isoform B55-alpha) (PP2A subunit B isoform PR55-alpha) (PP2A subunit B isoform R2-alpha) (PP2A subunit B isoform alpha)	PPP2R2A	Homo sapiens (Human)	447
P63167	P63167	DYL1_HUMAN	reviewed	Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)	DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1	Homo sapiens (Human)	89
P63173	P63173	RL38_HUMAN	reviewed	60S ribosomal protein L38 (Large ribosomal subunit protein eL38)	RPL38	Homo sapiens (Human)	70
